"Etiquetas de fila","2017_corrupcion","2018_corrupcion","2019_corrupcion","2020_corrupcion","2021_corrupcion","2022_corrupcion","2023_corrupcion","2024_corrupcion","2017_IDH","2018_IDH","2019_IDH","2020_IDH","2021_IDH","2022_IDH","2023_IDH","2024_IDH","2017_PIM","2018_PIM","2019_PIM","2020_PIM","2021_PIM","2022_PIM","2023_PIM","2024_PIM","2017_Devengado","2018_Devengado2","2019_Devengado22","2020_Devengado2","2021_Devengado3","2022_Devengado23","2023_Devengado3","2024_Devengado4","2018_fragment","2022_fragment"
"HUANCAVELICA_TAYACAJA","13","6","11","18","12","7","21","26","0.41354897618294","0.42320626974106","0.438486546278","0.42853829264641","0.46070808172226","0.45572581887245","0.47806176543236","0.50469893217087","  31,357,654 ","  33,343,236 ","  43,325,525 ","  83,033,337 ","  65,831,395 ","  56,733,762 ","  44,756,383 ","  48,974,070 ","  20,661,066 ","  19,204,787 ","  27,690,190 ","  44,079,453 ","  50,594,130 ","  43,971,985 ","  33,199,476 ","  33,027,935 ","  7 ","  4 "
"HUANUCO_AMBO","4","5","4","6","5","1","4","11","0.48899099230766","0.4795273244381","0.49175301194191","0.48422786593437","0.47461807727814","0.45103082060814","0.47966855764389","0.467728048563","  56,920,275 ","  53,717,383 ","  35,498,549 ","  64,028,238 ","  83,332,723 ","  105,249,566 ","  53,515,540 ","  50,744,059 ","  37,267,082 ","  28,494,633 ","  25,981,834 ","  40,832,158 ","  43,958,613 ","  55,231,859 ","  42,054,003 ","  40,782,157 ","  8 ","  8 "
"HUANUCO_DOS DE MAYO","0","2","0","1","2","2","5","4","0.46945485472679","0.47740861773491","0.48473992943764","0.47870436310768","0.47963771224022","0.45215407013893","0.4634502530098","0.44389376044273","  34,604,718 ","  40,948,331 ","  29,054,482 ","  34,541,490 ","  21,464,223 ","  22,804,741 ","  18,584,370 ","  18,086,763 ","  19,024,277 ","  29,258,276 ","  20,254,670 ","  23,368,320 ","  17,227,508 ","  13,351,950 ","  14,799,184 ","  12,598,413 ","  10 ","  6 "
"HUANUCO_HUACAYBAMBA","4","5","4","4","2","4","8","4","0.46180284023285","0.4465264081955","0.47283017635345","0.47426840662956","0.44950765371323","0.42282903194427","0.43498915433884","0.40732845664024","  9,982,112 ","  5,687,853 ","  4,984,374 ","  18,315,575 ","  16,270,377 ","  15,767,675 ","  9,595,579 ","  11,258,541 ","  8,106,009 ","  4,513,673 ","  3,540,447 ","  9,715,033 ","  13,917,072 ","  9,048,503 ","  7,743,878 ","  6,783,246 ","  9 ","  4 "
"HUANUCO_HUAMALIES","0","6","2","9","16","3","7","7","0.4600615799427","0.4709455370903","0.48065128922462","0.46511107683182","0.47186151146889","0.44969171285629","0.46473863720894","0.42292389273643","  30,074,781 ","  43,297,694 ","  22,726,716 ","  36,132,566 ","  29,088,244 ","  29,675,169 ","  25,084,240 ","  24,521,700 ","  19,400,268 ","  33,341,210 ","  15,952,041 ","  19,382,741 ","  23,462,268 ","  24,232,563 ","  20,894,836 ","  19,665,637 ","  10 ","  7 "
"HUANUCO_HUANUCO","13","4","5","8","5","6","12","19","0.56477737426758","0.58224451541901","0.5811385512352","0.56613129377365","0.56314992904663","0.55247992277145","0.5794615149498","0.56148874759674","  61,512,337 ","  62,896,144 ","  60,779,931 ","  91,651,450 ","  70,550,142 ","  86,101,100 ","  94,118,158 ","  108,273,235 ","  45,476,744 ","  48,765,504 ","  50,994,511 ","  67,747,600 ","  64,960,277 ","  70,409,965 ","  73,197,577 ","  90,123,052 ","  16 ","  9 "
"HUANUCO_LAURICOCHA","2","2","3","1","0","3","2","5","0.45870500802994","0.47095453739166","0.48263731598854","0.46381345391273","0.46217310428619","0.46248862147331","0.44519978761673","0.43365743756294","  13,802,435 ","  14,323,092 ","  11,562,705 ","  23,916,446 ","  13,098,145 ","  17,721,940 ","  18,261,708 ","  19,912,864 ","  6,658,985 ","  9,216,354 ","  9,517,562 ","  17,559,925 ","  9,891,410 ","  11,577,673 ","  14,662,295 ","  13,985,577 ","  11 ","  4 "
"HUANUCO_LEONCIO PRADO","3","1","1","1","5","3","3","10","0.56554174423218","0.57301509380341","0.58685493469238","0.53656500577927","0.56084597110748","0.56531846523285","0.58348989486694","0.55409717559814","  65,168,081 ","  66,312,140 ","  71,527,655 ","  79,403,202 ","  62,574,410 ","  72,995,286 ","  79,572,229 ","  64,881,242 ","  23,622,638 ","  26,427,058 ","  41,671,236 ","  57,522,560 ","  45,146,531 ","  43,364,046 ","  57,719,248 ","  54,536,586 ","  15 ","  6 "
"HUANUCO_MARAÑON","0","4","3","2","1","2","2","0","0.48179429769516","0.46672859787941","0.48748832941055","0.46865510940552","0.47484865784645","0.44384875893593","0.45565646886826","0.44679436087608","  26,751,238 ","  16,309,379 ","  12,552,678 ","  16,391,551 ","  17,424,950 ","  39,389,085 ","  43,778,836 ","  38,821,749 ","  19,274,971 ","  13,470,753 ","  8,529,246 ","  10,951,888 ","  10,355,508 ","  30,169,598 ","  23,241,910 ","  30,744,424 ","  8 ","  6 "
"HUANUCO_PACHITEA","1","1","3","1","3","1","3","14","0.41986188292503","0.41378176212311","0.42963922023773","0.42782840132713","0.42088994383812","0.39587020874023","0.42804560065269","0.4052757024765","  25,750,625 ","  27,811,034 ","  38,155,977 ","  55,738,084 ","  42,365,622 ","  39,886,939 ","  46,347,634 ","  55,948,143 ","  19,698,040 ","  19,604,484 ","  24,908,935 ","  40,262,911 ","  33,185,677 ","  29,222,822 ","  22,018,861 ","  42,428,399 ","  11 ","  6 "
